Country Name,Country Code,Year,Life Expectancy,CO2,Injuries,Communicable,NonCommunicable,Region_Europe & Central Asia,Region_Latin America & Caribbean,Region_Middle East & North Africa,Region_North America,Region_South Asia,Region_Sub-Saharan Africa,IncomeGroup_Low income,IncomeGroup_Lower middle income,IncomeGroup_Upper middle income
Dominica,DMA,0,66.94634146341464,-0.20065333029726276,0.1123093060833251,0.17035315414753852,0.8296468458524614,False,True,False,False,False,False,False,False,True
Denmark,DNK,0,76.79268292682929,-0.12900855331514324,0.09275672837883348,0.04363909016091295,0.956360909839087,True,False,False,False,False,False,False,False,False
Dominican Republic,DOM,0,69.69,-0.17571671013879123,0.13656402591205435,0.4457893625144764,0.5542106374855238,False,True,False,False,False,False,False,False,True
Algeria,DZA,0,71.116,-0.09669556702376217,0.21290259782358725,0.2794589033846767,0.7205410966153234,False,False,True,False,False,False,False,True,False
Ecuador,ECU,0,73.078,-0.16873763482093965,0.19284740694772137,0.37619127924036533,0.6238087207596347,False,True,False,False,False,False,False,False,True
Eritrea,ERI,0,55.864,-0.19992496380298982,0.08799367587191276,0.7582503911659274,0.24174960883407254,False,False,False,False,False,True,True,False,False
Spain,ESP,0,79.36829268292684,0.1895392221983323,0.1039137108214514,0.05211584921399137,0.9478841507860086,True,False,False,False,False,False,False,False,False
Estonia,EST,0,70.25853658536586,-0.18048419991948678,0.20847614944881554,0.05954684888385708,0.9404531511161429,True,False,False,False,False,False,False,False,False
Ethiopia,ETH,0,52.595,-0.19502504375060825,0.055418953462934975,0.8108329471503767,0.18916705284962335,False,False,False,False,False,True,True,False,False
Finland,FIN,0,77.96585365853659,-0.11995032273182167,0.1596245994645086,0.04813501378256342,0.9518649862174365,True,False,False,False,False,False,False,False,False
Fiji,FJI,0,65.863,-0.19947470087925745,0.10480063778203898,0.23484449303578941,0.7651555069642105,False,False,False,False,False,False,False,False,True
France,FRA,0,79.15853658536587,0.29805258681783087,0.1464668477748701,0.05561572259994363,0.9443842774000564,True,False,False,False,False,False,False,False,False
Gabon,GAB,0,57.968,-0.19260156977875467,0.07578164163821087,0.654438424636468,0.34556157536353205,False,False,False,False,False,True,False,False,True
United Kingdom,GBR,0,77.99268292682927,0.5212373236902265,0.07194823030666771,0.06352104917784743,0.9364789508221526,True,False,False,False,False,False,False,False,False
Georgia,GEO,0,70.065,-0.19619043014144497,0.08995818345219167,0.1266924871446883,0.8733075128553117,True,False,False,False,False,False,False,False,True
Ghana,GHA,0,57.158,-0.1926280558330919,0.051658755768152674,0.7252246125644964,0.27477538743550356,False,False,False,False,False,True,False,True,False
Guinea,GIN,0,51.255,-0.19877282043932173,0.05330287677572325,0.7855611108427102,0.21443888915728987,False,False,False,False,False,True,True,False,False
Guinea-Bissau,GNB,0,50.744,-0.20065333029726276,0.07045277900619455,0.776150223447987,0.22384977655201305,False,False,False,False,False,True,True,False,False
Equatorial Guinea,GNQ,0,53.581,-0.19634934646746816,0.05994440534416921,0.7874642903914649,0.21253570960853518,False,False,False,False,False,True,False,False,True
Greece,GRC,0,78.38780487804878,-0.07291109022895872,0.0945216181861545,0.0417516285765273,0.9582483714234727,True,False,False,False,False,False,False,False,False
Grenada,GRD,0,72.805,-0.20054738607991396,0.11792251891316749,0.19187237957320297,0.8081276204267971,False,True,False,False,False,False,False,False,True
Greenland,GRL,0,66.70926829268294,-0.19420397606615514,0.3078611758155018,0.11192997310699647,0.8880700268930036,True,False,False,False,False,False,False,False,False
Guatemala,GTM,0,68.304,-0.18786056605239632,0.17398103132404388,0.5334622063137433,0.46653779368625664,False,True,False,False,False,False,False,False,True
Guam,GUM,0,75.373,-0.19327034265076892,0.13488769438734166,0.16465669263601013,0.8353433073639899,False,False,False,False,False,False,False,False,False
Guyana,GUY,0,65.532,-0.19868011924914153,0.1777056997638268,0.3828446669823777,0.6171553330176224,False,True,False,False,False,False,False,False,True
Honduras,HND,0,70.976,-0.19317101994700442,0.2123868547020713,0.3742666817071958,0.6257333182928042,False,True,False,False,False,False,False,True,False
Croatia,HRV,0,74.51292682926831,-0.17542536354108204,0.13550669836184312,0.051752587085587894,0.9482474129144122,True,False,False,False,False,False,False,False,False
Haiti,HTI,0,57.382,-0.19873309135781592,0.11484684354,0.5991806141468565,0.40081938585314353,False,True,False,False,False,False,False,True,False
Hungary,HUN,0,72.2487804878049,-0.1263202187999177,0.13247059061176333,0.04148754021194578,0.9585124597880542,True,False,False,False,False,False,False,False,False
Indonesia,IDN,0,66.037,0.19916690294990363,0.0966344514237769,0.4265274865555545,0.5734725134444454,False,False,False,False,False,False,False,True,False
India,IND,0,62.907,1.0619236369297782,0.11783301901300214,0.5821281642218795,0.4178718357781205,False,False,False,False,True,False,False,True,False
Ireland,IRL,0,77.13414634146342,-0.1414967279351319,0.10976123998330801,0.06463326501220654,0.9353667349877935,True,False,False,False,False,False,False,False,False
Iraq,IRQ,0,68.983,-0.07166624567511044,0.20393064322293772,0.4135559808562475,0.5864440191437524,False,False,True,False,False,False,False,False,True
Iceland,ISL,0,80.69024390243904,-0.19799148183637438,0.10849213765994573,0.054789088797342296,0.9452109112026577,True,False,False,False,False,False,False,False,False
Israel,ISR,0,79.40731707317074,-0.12410863326276168,0.13753063934313678,0.0722968238566909,0.9277031761433091,False,False,True,False,False,False,False,False,False
Italy,ITA,0,80.12682926829268,0.37729886139472607,0.09029337489407308,0.0383562180342758,0.9616437819657242,True,False,False,False,False,False,False,False,False
Jamaica,JAM,0,74.139,-0.18750300431884415,0.09921617448439773,0.24246019189573617,0.7575398081042638,False,True,False,False,False,False,False,False,True
Jordan,JOR,0,71.907,-0.1793320565558187,0.14085232474979137,0.2643826117392885,0.7356173882607115,False,False,True,False,False,False,False,False,True
Japan,JPN,0,81.41707317073171,1.3490854380536745,0.12499036544252792,0.06586782662612267,0.9341321733738773,False,False,False,False,False,False,False,False,False
Kazakhstan,KAZ,0,65.76,-0.045325864636767424,0.20739343386704281,0.1829908163153762,0.8170091836846238,True,False,False,False,False,False,False,False,True
Kenya,KEN,0,51.101,-0.19077403202948806,0.038777336802986284,0.8152251719041748,0.18477482809582516,False,False,False,False,False,True,False,True,False
Cambodia,KHM,0,59.335,-0.198004724863543,0.09186704146161134,0.6116542205804375,0.38834577941956244,False,False,False,False,False,False,False,True,False
Kiribati,KIR,0,63.446,-0.20081224662328595,0.0828761609711909,0.41452708880234224,0.5854729111976579,False,False,False,False,False,False,False,True,False
Kuwait,KWT,0,73.21,-0.13041231419501473,0.15836716625489097,0.12600437125294991,0.8739956287470502,False,False,True,False,False,False,False,False,False
Lebanon,LBN,0,74.999,-0.17848450281702835,0.10508169160880308,0.17109131842132352,0.8289086815786766,False,False,True,False,False,False,False,True,False
Liberia,LBR,0,52.236,-0.2002560394822048,0.04884082389084569,0.8206948532180627,0.17930514678193735,False,False,False,False,False,True,True,False,False
Libya,LBY,0,71.038,-0.14198671994037007,0.18642787965168883,0.22028211616420634,0.7797178838357937,False,False,True,False,False,False,False,False,True
Sri Lanka,LKA,0,72.233,-0.18648329122686202,0.23987695279233767,0.19835356875485047,0.8016464312451494,False,False,False,False,True,False,False,True,False
Lesotho,LSO,0,46.197,-0.20032225461804778,0.07496356802775966,0.7923052963948388,0.20769470360516118,False,False,False,False,False,True,False,True,False
Lithuania,LTU,0,71.65853658536585,-0.18608600041180406,0.25345970404987533,0.05932124846368447,0.9406787515363155,True,False,False,False,False,False,False,False,False
Luxembourg,LUX,0,77.82439024390246,-0.18877433492702964,0.11448061956904351,0.048279181917073,0.9517208180829271,True,False,False,False,False,False,False,False,False
Latvia,LVA,0,70.7609756097561,-0.191105107708703,0.2196609976717758,0.061763450136499684,0.9382365498635002,True,False,False,False,False,False,False,False,False
Morocco,MAR,0,69.193,-0.15281951616428388,0.14788085922518052,0.39949808709468937,0.6005019129053106,False,False,True,False,False,False,False,True,False
Monaco,MCO,0,68.189,-0.17218744339835965,0.07699508602470938,0.04336113843011149,0.9566388615698885,True,False,False,False,False,False,False,False,False
Moldova,MDA,0,67.185,-0.19155537063243538,0.16443082551751134,0.11291300408296812,0.887086995917032,True,False,False,False,False,False,False,False,True
Madagascar,MDG,0,59.129,-0.19864039016763574,0.04629993274518012,0.7342343546274506,0.2657656453725495,False,False,False,False,False,True,True,False,False
Maldives,MDV,0,70.964,-0.20021631040069898,0.10222481688189368,0.3505986658259969,0.649401334174003,False,False,False,False,True,False,False,False,True
Mexico,MEX,0,74.658,0.30083362252323664,0.16019006675467606,0.25595784903597024,0.7440421509640297,False,True,False,False,False,False,False,False,True
Marshall Islands,MHL,0,74.04729268292684,-0.20070630240593715,0.15210909074032822,0.36148548303259825,0.6385145169674018,False,False,False,False,False,False,False,False,True
North Macedonia,MKD,0,73.43658536585367,-0.1890391954704016,0.12060630437542846,0.0760298574354409,0.923970142564559,True,False,False,False,False,False,False,False,True
Mali,MLI,0,48.758,-0.19871984833064732,0.052687837274342335,0.8328749177701661,0.16712508222983388,False,False,False,False,False,True,True,False,False
Malta,MLT,0,78.84390243902439,-0.19755446193981063,0.08370837212780101,0.05794136837177955,0.9420586316282205,False,False,True,False,False,False,False,False,False
Myanmar,MMR,0,60.377,-0.18979404801901173,0.1040788436488448,0.5292970391296831,0.470702960870317,False,False,False,False,False,False,False,True,False
Montenegro,MNE,0,73.18751219512195,-0.19864039016763574,0.1409200678552444,0.08121677355430539,0.9187832264456947,True,False,False,False,False,False,False,False,True
Mongolia,MNG,0,63.319,-0.18897298033455862,0.1670209999933004,0.3432358826144953,0.6567641173855047,False,False,False,False,False,False,False,True,False
Northern Mariana Islands,MNP,0,56.307,-0.19397884460428896,0.20142072876447878,0.1631774580993331,0.8368225419006668,False,False,False,False,False,False,False,False,False
Mozambique,MOZ,0,49.295,-0.1989847088740193,0.041478782168849475,0.8408839769449415,0.1591160230550584,False,False,False,False,False,True,True,False,False
Mauritania,MRT,0,60.788,-0.1989979519011879,0.07737481881300397,0.7071570714723754,0.2928429285276247,False,False,False,False,False,True,False,True,False
Mauritius,MUS,0,71.7658536585366,-0.19744851772246186,0.09831701269714835,0.13446103147541258,0.8655389685245873,False,False,False,False,False,True,False,False,True
Malawi,MWI,0,45.204,-0.19995144985732702,0.03197278537494611,0.8459968286555984,0.1540031713444016,False,False,False,False,False,True,True,False,False
Malaysia,MYS,0,72.782,-0.029407745980111664,0.1433684993072152,0.22093319839862033,0.7790668016013796,False,False,False,False,False,False,False,False,True
Namibia,NAM,0,51.399,-0.19759419102131642,0.08259494088119719,0.7450528984900758,0.25494710150992406,False,False,False,False,False,True,False,False,True
Niger,NER,0,50.584,-0.19996469288449562,0.03925404537670967,0.86221608636485,0.13778391363514988,False,False,False,False,False,True,True,False,False
Nigeria,NGA,0,46.51,-0.06583931372092697,0.035436305507871316,0.8238502082274904,0.17614979177250958,False,False,False,False,False,True,False,True,False
Nicaragua,NIC,0,69.934,-0.1956474660275324,0.15993724798467351,0.354215706036457,0.6457842939635431,False,True,False,False,False,False,False,True,False
Netherlands,NLD,0,78.19024390243904,0.020465494336831418,0.07872143296279217,0.058026897245483454,0.9419731027545166,True,False,False,False,False,False,False,False,False
Norway,NOR,0,78.78536585365853,-0.1548721853754167,0.10664108446578535,0.051613820772825524,0.9483861792271745,True,False,False,False,False,False,False,False,False
Nepal,NPL,0,62.945,-0.19626988830445655,0.08080301921356216,0.6265118726645759,0.3734881273354241,False,False,False,False,True,False,False,True,False
Nauru,NRU,0,70.81884146341464,-0.20074603148744294,0.18025216080491654,0.35815620233518564,0.6418437976648143,False,False,False,False,False,False,False,False,False
New Zealand,NZL,0,78.69268292682928,-0.15897752379768232,0.16842299943596112,0.048259750706591234,0.9517402492934087,False,False,False,False,False,False,False,False,False
Oman,OMN,0,72.58,-0.1637317705512093,0.3161664128301193,0.20701486148960624,0.7929851385103938,False,False,True,False,False,False,False,False,False
Pakistan,PAK,0,63.066,-0.06863359245350131,0.05013712693218779,0.6801124265657492,0.3198875734342507,False,False,False,False,True,False,False,True,False
