Year,Life Expectancy,CO2,Injuries,Communicable,Region_Europe & Central Asia,Region_Latin America & Caribbean,Region_Middle East & North Africa,Region_North America,Region_South Asia,Region_Sub-Saharan Africa,IncomeGroup_Low income,IncomeGroup_Lower middle income,IncomeGroup_Upper middle income
0,56.308,-0.19988523472148403,0.14076723153287726,0.6257301535292172,0,0,0,0,1,0,1,0,0
0,47.059,-0.17971610434370805,0.1004842034972211,0.8077400857549893,0,0,0,0,0,1,0,1,0
0,74.288,-0.19657447792933433,0.17391306220721195,0.2092850455482181,1,0,0,0,0,0,0,0,1
0,74.416,-0.2001633382920246,0.11847378629938182,0.0485312792174265,1,0,0,0,0,0,0,0,0
0,74.544,-0.0721297516260114,0.2644877601633352,0.11932432416868782,0,0,1,0,0,0,0,0,0
0,73.755,-0.03496981739092316,0.14592599785017268,0.1573472920199184,0,1,0,0,0,0,0,0,1
0,71.8,-0.19608448592409616,0.11612789791325172,0.13732240270428617,1,0,0,0,0,0,0,0,1
0,72.9855,-0.19823647783899348,0.12304299760852427,0.2143764736656362,0,0,0,0,0,0,0,0,1
0,74.171,-0.20038846975389077,0.12528138395085547,0.18667217624268542,0,1,0,0,0,0,0,0,0
0,79.63414634146342,0.2568800153506572,0.14021684714344188,0.04770195183279534,0,0,0,0,0,0,0,0,0
0,78.57560975609756,-0.11091857820283728,0.11020854265837315,0.03564952894972527,1,0,0,0,0,0,0,0,0
0,67.054,-0.16589038397969091,0.08649977785029192,0.33238147251437006,1,0,0,0,0,0,0,0,1
0,49.93,-0.20058711516141975,0.20825950342088562,0.8237104988874144,0,0,0,0,0,1,1,0,0
0,77.97317073170734,-0.04413399219159353,0.13701816084610896,0.055894580763340446,1,0,0,0,0,0,0,0,0
0,55.668,-0.19854768897745553,0.05334407330696272,0.7798175574819329,0,0,0,0,0,1,0,1,0
0,50.893,-0.19956740206943765,0.04260632109501322,0.8097044288569938,0,0,0,0,0,1,1,0,0
0,65.956,-0.16671145166414403,0.10237958982239578,0.5884063231124087,0,0,0,0,1,0,0,1,0
0,71.76829268292684,-0.1396824332130339,0.11463081258841136,0.05584705275279112,1,0,0,0,0,0,0,0,1
0,74.635,-0.1791466541754583,0.1624178361018907,0.12561262008185686,0,0,1,0,0,0,0,0,0
0,74.637,-0.1826295703207998,0.1299610765922533,0.07071731839190325,1,0,0,0,0,0,0,0,1
0,68.50731707317074,-0.13214715075410116,0.21900339721185738,0.05745973490247313,1,0,0,0,0,0,0,0,1
0,69.04,-0.200150095264856,0.25335211916152756,0.3342942486354148,0,1,0,0,0,0,0,0,1
0,77.88536585365854,-0.19517071704946284,0.08355740803822569,0.10462383452052845,0,0,0,1,0,0,0,0,0
0,63.054,-0.1901913388340697,0.13496120737609532,0.5021358933047624,0,1,0,0,0,0,0,1,0
0,70.462,0.22210382600591674,0.1849406025769146,0.2771244860800397,0,1,0,0,0,0,0,0,1
0,77.362,-0.1991171391457053,0.09160385814317605,0.16284205225781084,0,1,0,0,0,0,0,0,0
0,61.808,-0.20054738607991396,0.08946162566384679,0.5847401721185223,0,0,0,0,1,0,0,1,0
0,50.281,-0.195726924190544,0.06816615588935072,0.8004269397811591,0,0,0,0,0,1,0,0,1
0,44.061,-0.20052090002557676,0.06819458277323649,0.8304410180778291,0,0,0,0,0,1,1,0,0
0,79.33902439024392,0.4700662667107606,0.11630003629761426,0.053150264067756886,0,0,0,1,0,0,0,0,0
0,80.18048780487806,-0.14105970803856815,0.13645967981139817,0.0459711305297711,1,0,0,0,0,0,0,0,0
0,76.634,-0.13671599512726776,0.16686028310072598,0.10719241456986207,0,1,0,0,0,0,0,0,0
0,71.732,4.472718256311074,0.1461055301556592,0.15368925147234394,0,0,0,0,0,0,0,0,1
0,49.495,-0.19225725107237113,0.0418719907695629,0.8222102466434413,0,0,0,0,0,1,0,1,0
0,51.222,-0.19401857368579475,0.04752798406596098,0.7998744055520144,0,0,0,0,0,1,0,1,0
0,73.241,-0.1227975735730704,0.39284513848431707,0.27277259894966355,0,1,0,0,0,0,0,0,1
0,59.529,-0.20070630240593715,0.06064349251445135,0.7065937908751616,0,0,0,0,0,1,0,1,0
0,77.601,-0.19367425497941118,0.16056059548732263,0.1522833905610013,0,1,0,0,0,0,0,0,1
0,76.905,-0.16447338007265083,0.13945325512668305,0.10314906779471424,0,1,0,0,0,0,0,0,1
0,78.139,-0.19159509971394117,0.13319018803774868,0.05395614772797348,1,0,0,0,0,0,0,0,0
0,78.32926829268293,0.9217329513229914,0.0855858480574825,0.03656877259295039,1,0,0,0,0,0,0,0,0
0,57.1,-0.20034874067238498,0.060765198991050436,0.7583730719378989,0,0,1,0,0,0,0,1,0
0,66.94634146341464,-0.20065333029726276,0.1123093060833251,0.17035315414753852,0,1,0,0,0,0,0,0,1
0,76.79268292682929,-0.12900855331514324,0.09275672837883348,0.04363909016091295,1,0,0,0,0,0,0,0,0
0,69.69,-0.17571671013879123,0.13656402591205435,0.4457893625144764,0,1,0,0,0,0,0,0,1
0,71.116,-0.09669556702376217,0.21290259782358725,0.2794589033846767,0,0,1,0,0,0,0,1,0
0,73.078,-0.16873763482093965,0.19284740694772137,0.37619127924036533,0,1,0,0,0,0,0,0,1
0,55.864,-0.19992496380298982,0.08799367587191276,0.7582503911659274,0,0,0,0,0,1,1,0,0
0,79.36829268292684,0.1895392221983323,0.1039137108214514,0.05211584921399137,1,0,0,0,0,0,0,0,0
0,70.25853658536586,-0.18048419991948678,0.20847614944881554,0.05954684888385708,1,0,0,0,0,0,0,0,0
0,52.595,-0.19502504375060825,0.055418953462934975,0.8108329471503767,0,0,0,0,0,1,1,0,0
0,77.96585365853659,-0.11995032273182167,0.1596245994645086,0.04813501378256342,1,0,0,0,0,0,0,0,0
0,65.863,-0.19947470087925745,0.10480063778203898,0.23484449303578941,0,0,0,0,0,0,0,0,1
0,79.15853658536587,0.29805258681783087,0.1464668477748701,0.05561572259994363,1,0,0,0,0,0,0,0,0
0,57.968,-0.19260156977875467,0.07578164163821087,0.654438424636468,0,0,0,0,0,1,0,0,1
0,77.99268292682927,0.5212373236902265,0.07194823030666771,0.06352104917784743,1,0,0,0,0,0,0,0,0
0,70.065,-0.19619043014144497,0.08995818345219167,0.1266924871446883,1,0,0,0,0,0,0,0,1
0,57.158,-0.1926280558330919,0.051658755768152674,0.7252246125644964,0,0,0,0,0,1,0,1,0
0,51.255,-0.19877282043932173,0.05330287677572325,0.7855611108427102,0,0,0,0,0,1,1,0,0
0,50.744,-0.20065333029726276,0.07045277900619455,0.776150223447987,0,0,0,0,0,1,1,0,0
0,53.581,-0.19634934646746816,0.05994440534416921,0.7874642903914649,0,0,0,0,0,1,0,0,1
0,78.38780487804878,-0.07291109022895872,0.0945216181861545,0.0417516285765273,1,0,0,0,0,0,0,0,0
0,72.805,-0.20054738607991396,0.11792251891316749,0.19187237957320297,0,1,0,0,0,0,0,0,1
0,66.70926829268294,-0.19420397606615514,0.3078611758155018,0.11192997310699647,1,0,0,0,0,0,0,0,0
